grad_norm,param_norm,samples,step,train_acc@1,train_acc@1_q2,train_acc@1_q3,train_acc@2,train_acc@2_q2,train_acc@2_q3,train_loss,train_loss_q2,train_loss_q3,val_acc@1,val_acc@1_q0,val_acc@1_q1,val_acc@2,val_acc@2_q0,val_acc@2_q1,val_loss,val_loss_q0,val_loss_q1,train_acc@1_q0,train_acc@1_q1,train_acc@2_q0,train_acc@2_q1,train_loss_q0,train_loss_q1,val_acc@1_q2,val_acc@1_q3,val_acc@2_q2,val_acc@2_q3,val_loss_q2,val_loss_q3
214.21155285045222,158.67871450218718,2,0,0.0,0.0,0.0,1.0,1.0,1.0,0.7994104623794556,0.806848406791687,0.7919725179672241,1.0,1.0,1.0,1.0,1.0,1.0,0.02313094027340412,0.023266643285751343,0.0229952372610569,,,,,,,,,,,,
5.326011518168362,158.7593159828592,22,10,0.7500000000000001,0.75,0.6666666666666666,1.0,1.0,1.0,0.7313366666436196,1.0777539536356926,1.1472659744322298,0.75,1.0,1.0,1.0,1.0,1.0,0.4810302425175905,0.07861429452896118,0.2680956721305847,0.8,0.8,1.0,1.0,0.3298694986850023,0.3565548196434975,0.0,1.0,1.0,1.0,1.544270396232605,0.03314066678285599
3.160461362924841,158.93456726760442,42,20,0.7999999999999999,1.0,0.4,1.0,1.0,1.0,0.5385191231966018,0.29299734107085634,1.052179205417633,1.0,1.0,,1.0,1.0,,0.28165780007839203,0.24962922185659409,,1.0,0.75,1.0,1.0,0.2689121589064598,0.5957141257822514,1.0,1.0,1.0,1.0,0.28666600584983826,0.3407067656517029
4.418857304592775,159.04296096897463,62,30,0.8500000000000001,0.8333333333333333,0.75,1.0,1.0,1.0,0.7264787055552006,0.9936584345996378,1.2556454353034496,1.0,1.0,,1.0,1.0,,0.06173295620828867,0.04445420360813539,,1.0,0.8571428571428571,1.0,1.0,0.11727598899354537,0.4561733846951808,1.0,,1.0,,0.11356920748949051,
2.0503639575922428,159.09105302293318,82,40,0.9,1.0,0.75,1.0,1.0,1.0,0.3661265417933464,0.23008531518280506,0.5435672029852867,0.5,,0.0,1.0,,1.0,0.8478724658489227,,1.508354663848877,1.0,0.75,1.0,1.0,0.22018435411155224,0.6166114918887615,0.5,1.0,1.0,1.0,0.8465137928724289,0.1901075690984726
2.471001615376115,159.11595078623014,102,50,0.7000000000000002,0.42857142857142855,1.0,1.0,1.0,1.0,0.6272698640823364,0.9879234284162521,0.17064506312211355,1.0,1.0,1.0,1.0,1.0,1.0,0.2580116242170334,0.2461010217666626,0.25998688489198685,0.5,0.875,1.0,1.0,0.9253460168838501,0.4084132704883814,1.0,,1.0,,0.26597169041633606,
1.9807646258446159,159.11203855670476,122,60,0.9,0.8571428571428572,0.8,1.0,1.0,1.0,0.3927632927894592,0.4559388607740402,0.5269493609666824,1.0,1.0,1.0,1.0,1.0,1.0,0.20522350817918777,0.2031441330909729,0.2283400371670723,1.0,1.0,1.0,1.0,0.25978900492191315,0.2474477402865887,,1.0,,1.0,,0.1610698401927948
1.4268935015975655,159.09617739641905,142,70,0.95,1.0,0.8571428571428572,1.0,1.0,1.0,0.23671395182609553,0.14407459398110709,0.40207839757204056,0.75,1.0,,1.0,1.0,,0.7886003851890564,0.16131620109081268,,1.0,1.0,1.0,1.0,0.14463504403829575,0.14977953676134348,,0.6666666666666666,,1.0,,0.9976950734853745
2.3452648894700396,159.0790574008656,162,80,0.7999999999999999,0.8,0.6666666666666667,1.0,1.0,1.0,0.5674129612743855,0.5887557342648506,0.8845534846186638,0.75,1.0,0.0,1.0,1.0,1.0,0.5387765988707542,0.13894110918045044,1.7420705556869507,0.8,1.0,1.0,1.0,0.5186837032437325,0.12593520991504192,,1.0,,1.0,,0.13704736530780792
1.9103161438649252,159.05910346760575,182,90,0.8,0.75,0.75,1.0,1.0,1.0,0.5181586414575576,0.6037363968789577,0.5918502900749445,1.0,1.0,1.0,1.0,1.0,1.0,0.2230922132730484,0.22712596505880356,0.2417575716972351,1.0,0.75,1.0,1.0,0.21479136496782303,0.5885648317635059,,1.0,,1.0,,0.19635933637619019
1.5273454683002834,159.04261732095938,202,100,0.9,0.8,1.0,1.0,1.0,1.0,0.34886718094348906,0.49306428134441377,0.18826580792665482,0.5,1.0,0.5,1.0,1.0,1.0,1.0036790072917938,0.18206287920475006,1.0410492643713951,1.0,0.8333333333333333,1.0,1.0,0.18302876055240633,0.4739692161480586,,0.0,,1.0,,1.7505546808242798
